method,dataset_size,T,queries_num,conditions,seed,runtime_sec,imp_R,diversity,query_coverage
1,100,20,100,1,70759929,0.5391330718994141,0.22378125562151466,5.143054327971797e-07,0.86
2,100,20,100,1,70759929,0.866396,0.326601,3e-06,0.85
1,100,20,100,1,535630145,0.5439238548278809,0.23084994753410285,3.6696633320953964e-07,0.82
2,100,20,100,1,535630145,0.713025,0.326112,3e-06,0.83
1,100,20,100,1,2119588744,0.5412230491638184,0.22355403348554034,4.251861659421152e-07,0.76
2,100,20,100,1,2119588744,0.703276,0.325171,3e-06,0.75
1,100,20,100,1,158053191,0.5445291996002197,0.22453359749050686,1.5335454939258142e-07,0.81
2,100,20,100,1,158053191,0.712634,0.322347,3e-06,0.81
1,100,20,100,1,1516570983,0.5432629585266113,0.22516316171138506,5.251819803486768e-07,0.85
2,100,20,100,1,1516570983,0.690721,0.327726,3e-06,0.81
1,100,20,100,3,1889546436,0.5450849533081055,0.21728307254623044,3.966350178297162e-07,0.75
2,100,20,100,3,1889546436,0.752394,0.327278,3e-06,0.73
1,100,20,100,3,462307118,0.5596420764923096,0.22012907727193443,3.5202018999758167e-07,0.82
2,100,20,100,3,462307118,0.762758,0.3272,3e-06,0.76
1,100,20,100,3,2056753236,0.5475687980651855,0.2238302934179223,1.8417120173364054e-07,0.72
2,100,20,100,3,2056753236,0.737672,0.326924,3e-06,0.72
1,100,20,100,3,2033557166,0.5459680557250977,0.2244738893219018,8.151440926695841e-07,0.79
2,100,20,100,3,2033557166,0.787034,0.327056,3e-06,0.73
1,100,20,100,3,932767500,0.5505809783935547,0.2204699066623753,2.840781431201478e-07,0.83
2,100,20,100,3,932767500,0.747885,0.32683,3e-06,0.81
1,100,20,200,1,240825567,1.1565921306610107,0.2241206030150754,3.8334088159341917e-07,0.87
2,100,20,200,1,240825567,1.215415,0.323939,3e-06,0.805
1,100,20,200,1,1646610944,0.9154922962188721,0.22493864451576365,4.790350511818531e-07,0.8
2,100,20,200,1,1646610944,1.20992,0.319733,3e-06,0.775
1,100,20,200,1,111001219,0.9088339805603027,0.22077040556592567,5.512009707553389e-07,0.81
2,100,20,200,1,111001219,1.172237,0.328255,3e-06,0.79
1,100,20,200,1,1230955057,0.8815009593963623,0.22983748864439285,3.659627368923779e-07,0.73
2,100,20,200,1,1230955057,1.179134,0.320183,3e-06,0.735
1,100,20,200,1,1454823018,0.9252798557281494,0.2216900444748546,5.816682504544701e-07,0.845
2,100,20,200,1,1454823018,2.083813,0.326295,3e-06,0.81
1,100,20,200,3,57167865,1.1525728702545166,0.22068456499677092,6.948365628423048e-07,0.79
2,100,20,200,3,57167865,1.465237,0.323828,3e-06,0.75
1,100,20,200,3,554994066,1.0455617904663086,0.21625416886080392,2.736888254917247e-07,0.79
2,100,20,200,3,554994066,2.31373,0.329227,3e-06,0.765
1,100,20,200,3,81892685,1.008509874343872,0.217619464101137,6.22215410861493e-07,0.835
2,100,20,200,3,81892685,1.843116,0.32426,3e-06,0.8
1,100,20,200,3,42163193,1.1555249691009521,0.22311827956989247,2.6977115641368954e-07,0.8
2,100,20,200,3,42163193,2.229524,0.325135,3e-06,0.765
1,100,20,200,3,1199986889,1.0741021633148193,0.22254693588381155,3.3314596792344275e-07,0.79
2,100,20,200,3,1199986889,1.517291,0.325463,3e-06,0.785
1,500,100,100,1,1252252468,0.5890779495239258,0.22016586377218123,5.32546587606042e-07,0.87
2,500,100,100,1,1252252468,0.832708,0.372103,,0.86
