method,dataset_size,T,queries_num,conditions,seed,runtime_sec,imp_R,diversity,query_coverage
1,100,20,100,1,1723145589,0.9614951610565186,0.22035948842032493,4.79689096888336e-07,0.88
1,100,20,100,1,1088593839,1.2567780017852783,0.22566142140757392,4.2127836530347906e-07,0.85
1,100,20,100,1,1669620996,0.8058249950408936,0.22953705333568034,5.178775316361239e-07,0.82
1,100,20,100,1,942300840,0.8609719276428223,0.2256615878107458,6.555932406948628e-07,0.87
1,100,20,100,1,1891634103,0.9897222518920898,0.22697724810400866,4.4116537889493657e-07,0.81
1,100,20,100,3,1276980290,0.7679100036621094,0.21992962252079334,5.801960676343754e-07,0.79
1,100,20,100,3,350695607,0.6541669368743896,0.2153101779851391,4.631828625090151e-07,0.77
1,100,20,100,3,1142774787,1.3556840419769287,0.22147535332643917,4.4422328071558326e-07,0.84
1,100,20,100,3,148074896,0.7602837085723877,0.2250045036930283,4.698332700669994e-07,0.78
1,100,20,100,3,664269581,0.8706963062286377,0.2292482380579483,4.865071920878705e-07,0.73
1,100,20,200,1,1817870864,1.1958117485046387,0.2209518970189702,4.153135152451526e-07,0.81
1,100,20,200,1,298953518,1.162039041519165,0.22389926617745162,1.2071328292506678e-07,0.825
1,100,20,200,1,482405442,1.0485806465148926,0.22013314141777618,1.242500820008985e-07,0.785
1,100,20,200,1,1596056283,1.4167652130126953,0.22191610380376822,3.7027507515663416e-07,0.79
1,100,20,200,1,2145096004,7.441001892089844,0.22608451232080953,1.1613914074892762e-07,0.78
1,100,20,200,3,682055471,4.496372938156128,0.22074903142488161,4.022208756060408e-07,0.81
1,100,20,200,3,1563357030,1.213710069656372,0.21996150673632114,4.387072779499235e-07,0.775
1,100,20,200,3,1221187927,1.6560461521148682,0.2162782485875706,6.678206294630229e-07,0.78
1,100,20,200,3,967850163,1.6744520664215088,0.21857832528716498,4.0771337417311315e-07,0.825
1,100,20,200,3,1108241165,1.0552971363067627,0.21780957079427726,4.4983511171547974e-07,0.85
1,500,100,100,1,1667976884,0.7098269462585449,0.2181164914131259,5.113918175592147e-07,0.86
1,500,100,100,1,1928823088,0.5897607803344727,0.2277132157059573,4.167950786726493e-07,0.78
1,500,100,100,1,1698113625,0.7818360328674316,0.21672268657604332,3.6209407572318497e-07,0.87
1,500,100,100,1,1369363214,0.6568179130554199,0.21991513633834167,5.756699503756124e-07,0.84
1,500,100,100,1,750097674,0.6236822605133057,0.2291080448859206,3.1962616031666613e-07,0.88
1,500,100,100,3,898712953,0.6478769779205322,0.2242850889991246,5.501779016814368e-07,0.82
1,500,100,100,3,497886451,0.7309861183166504,0.2317340975918413,4.3188955889394975e-07,0.81
1,500,100,100,3,778275267,0.6144521236419678,0.21825697336867347,5.013446969792668e-07,0.81
1,500,100,100,3,1453083663,0.5922443866729736,0.24768180748411392,4.631771912677607e-07,0.79
1,500,100,100,3,1844404387,0.7521669864654541,0.2184386955039582,3.310172939086087e-07,0.76
1,500,100,200,1,1135237587,1.0953378677368164,0.21727150654831454,5.241689550183892e-07,0.825
1,500,100,200,1,802672078,0.9749021530151367,0.22022456664065945,4.0678437607244433e-07,0.84
1,500,100,200,1,1187957896,1.0072660446166992,0.2226629576207157,4.782261379121522e-07,0.835
1,500,100,200,1,491447958,0.993779182434082,0.21898309610025532,5.558216445988862e-07,0.9
